,0,1,2,3,4,5,6,7,8,9,10
27,-0.41451344,-0.0050940067,0.19796692,-0.35580644,0.02862413,-0.0011116868,-0.27295056,0.21622705,-0.2612716,0.03292082,-0.033400312
28,-0.2497908,-0.39588207,-0.43382713,-0.26717976,0.35974115,-0.18434815,0.11379404,0.666045,-0.10883913,-0.011642568,-0.20531975
29,-0.02513684,0.5754139,0.14702742,-0.029575892,0.32838303,-0.52396166,-0.024751503,0.36459056,0.042440288,-0.08824965,0.2443516
30,0.49817383,0.0038016157,-0.4413789,-0.10441521,0.054696135,-0.25392783,-0.28390267,-0.14299887,0.02375364,-0.023616657,-0.21706796
31,0.19890074,0.15265676,0.05693957,-0.25645044,0.13916887,-0.3848078,-0.43616697,-0.792679,0.0011860881,0.13688771,-0.33256862
32,-0.035160284,-0.1884311,-0.34142098,-0.00401182,0.34103507,-0.05794689,0.46730757,-0.14985809,0.10472211,-0.13008788,0.21562347
33,-0.049769,0.591491,-0.0057834885,-0.5077721,0.29786983,0.45258978,-0.08428776,0.2533241,-0.3274078,0.24108842,-0.026380204
34,0.5399613,-0.35358924,-0.24201743,-0.24920961,-0.26492786,-0.20695108,0.52187264,0.29851264,0.10128493,0.23589633,0.0203438
35,0.057015233,0.028623689,0.06349294,-0.057280496,-0.12930976,0.13964547,0.23674619,-0.15222947,-0.34783998,-0.29091313,0.12740284
36,-0.18224958,0.16923648,-0.58821076,0.1345967,-0.31244507,0.20475347,-0.26704574,-0.26634994,-0.15243894,-0.018984506,0.17311612
37,0.16414627,-0.19862464,-0.24432684,-0.21185048,0.100410685,0.08651397,0.12562735,0.22542085,-0.3218394,-0.044652198,-0.05513916
38,0.16375254,-0.016453598,-0.041392572,0.054504767,-0.1459897,0.08211125,-0.25532016,-0.029204892,0.31943235,-0.4722249,0.4043161
39,-0.06978041,-0.05893624,-0.0017040765,-0.06006068,-0.2365904,0.3619845,0.052819267,-0.3871938,-0.118975386,0.022269903,0.019951584
40,-0.041856714,-0.084885605,0.21390466,0.15703444,0.027829645,-0.055984404,-0.10333167,-0.04388819,-0.058648963,-0.17302167,0.18067572
41,0.09250519,0.13326488,-0.16313094,0.04669533,0.382285,-0.2042615,-0.926339,-0.03986367,-0.050994,-0.011661555,0.08136195
42,0.47767887,0.5421722,-0.049181595,-0.31027642,0.06888309,0.08350116,0.48344284,0.14643271,0.025727682,-0.18575627,0.3515339
43,0.026552383,-0.27473933,0.3426961,0.48312694,0.30303845,0.5422521,-0.27472982,0.6585776,-0.20868711,-0.1658915,0.26111284
44,0.98955625,0.35716507,-0.21277526,-0.005291345,-0.18381087,-0.320172,0.08061072,-0.027947942,-0.42223853,-0.40679517,0.019666541
45,0.16623555,-0.3956605,0.41167402,0.11232705,1.0464537,0.4128168,0.50687784,0.096895896,-0.32131574,-0.29736862,0.22196916
46,-0.3241326,0.13492337,0.054338347,-0.56316984,0.08803544,0.24062566,-0.12021111,0.017143548,-0.08805843,0.07641273,0.0043478804
47,0.0017060506,-0.29286012,-0.07098776,0.087062046,-0.31192148,-0.52101487,0.10917735,0.5439359,0.054840975,0.20274188,-0.21511029
48,-0.004260293,-0.3051131,0.15964527,0.16654253,-0.39035878,-0.482959,0.2427623,-0.42601687,-0.5037517,-0.63456,0.2643478
49,-0.110468626,-0.15571944,0.06721408,-0.12824887,0.17296784,-0.04888767,0.71886384,0.11383057,-0.15425518,-0.5135283,0.5860832
50,0.41865525,0.03260476,0.28736433,0.16111846,0.06574025,-0.22155143,0.3716184,0.23543343,-0.2502053,0.12880588,-0.29012173
51,-0.07020448,-0.017673325,0.6895356,0.095142215,-0.08660974,0.1042426,-0.35501757,-0.4392106,0.03234826,-0.06775055,-0.16704193
52,-0.09050397,-0.010330312,-0.08041943,-0.19572791,0.09224357,-0.124961406,0.16734846,-0.3118442,-0.4739845,-0.0005289104,-0.14863113
53,0.012842979,-0.13070852,-0.63075256,-0.3554412,0.3474679,0.026545577,0.0020877183,0.20927244,0.24860114,-0.35088626,0.5135617
54,0.016684497,0.05838312,0.091620535,-0.013826623,0.2798771,0.3002423,0.27082697,-0.24170631,-0.40509143,-0.17384537,-0.062423594
55,-0.045519605,-0.17707871,-0.087976985,1.043068,0.31000397,-0.3278364,0.0520032,-0.29861248,0.092628576,0.4227837,-0.1433802
56,-0.02071372,0.86924136,0.23146982,-0.018593417,-0.16290286,0.35704854,-0.07851988,0.19081834,-0.19054092,-0.48905507,0.44043082
57,-0.11975292,-0.39096493,-0.12261811,-0.34890625,-0.35236365,-0.71633893,0.3881796,0.18458024,-0.2145438,-0.10706148,-0.13831614
58,0.34928328,-0.44311136,-0.29336873,0.02727814,-0.7357567,-0.081218235,-0.0665991,-0.31266418,0.14913282,0.56504774,-0.381829
59,0.17798424,-0.023187874,0.09453148,0.47878477,0.19871247,-0.11987837,-0.16490874,-0.119464554,-0.3364079,0.3787829,-0.014294887
60,-0.07349885,-0.40524745,-0.057046052,-0.40461472,-0.43050632,-0.0048902477,0.2388235,-0.18642272,-0.24810988,-0.29962775,0.17218958
61,0.036455523,0.26647347,0.31775218,-0.2606218,-0.580385,0.24495922,0.33032447,-0.13731676,0.1683988,0.37130773,-0.08818003
62,0.26729804,0.36823305,0.17513515,0.18422346,-0.048356805,-0.40573785,-0.341503,-0.7695355,-0.26125452,0.56642926,-0.7927544
63,0.20123558,0.310144,-0.022350611,0.047691043,-0.38729253,-0.28081653,0.15589002,0.25701213,-0.6593827,0.02448769,-0.0650884
64,0.30966207,0.26173705,0.112028666,0.035154004,-0.29501215,-0.32191992,-0.40182933,-0.06463172,-0.2361758,-0.067455985,-0.42933124
65,-0.163784,-0.43452358,-0.14465865,-0.23428836,0.5475064,-0.19572861,-0.04349903,0.1130515,0.379806,-0.1708729,0.12739933
66,0.24085999,0.049755163,-0.0073593864,0.094791785,0.603388,0.017918708,-0.09951589,-0.06236295,-0.002092353,-0.037138186,-0.035897933
67,-0.1355446,-0.09150339,0.44967103,0.3175302,-0.11469816,-0.42052025,0.043986082,0.01064997,0.064799756,-0.50859237,0.023569046
68,0.19322082,-0.025646873,0.010564476,-0.53577864,0.39737922,-0.10572064,-0.24886455,0.063415386,0.64174604,0.16808937,0.13346441
69,-0.022415651,-0.17184608,-1.1615537,0.33858714,0.55292565,-0.01265375,-0.47474396,-0.060768507,0.15898287,0.12676157,0.007076883
70,-0.15911287,-0.3071884,0.014694008,-0.17122097,-0.005395303,-0.035369717,0.3145753,-0.42961216,-0.0803368,-0.036814902,0.007245196
71,0.15430672,-0.12270708,-0.26457033,-0.13968523,-0.7241647,0.08845581,-0.44821241,0.13255426,0.54117894,0.15227467,-0.26332992
72,-0.073439404,0.00886062,-0.07856352,-0.20808017,0.072014354,-0.40652916,0.10279247,0.010486385,-0.16992061,-0.34224427,0.06887935
73,0.11693016,-0.32803565,-0.21284132,0.273235,-0.26560298,0.10566348,0.41924617,0.06550242,0.14250341,-0.21372087,0.2210873
74,-0.07107341,-0.01499793,0.19358303,0.06796101,-0.45111883,0.011009789,0.038152125,-0.293541,0.23862201,-0.008711791,0.01770131
75,-0.0686095,-0.08028778,0.17775707,-0.046095844,0.43739507,-0.09819124,-0.1095973,0.059385285,-0.22839251,0.546522,-0.057671
76,-0.50931656,-0.4532572,-0.2401445,-0.32333797,-0.24234354,0.058376145,0.13450415,0.12689915,-0.02873997,0.14587045,-0.119563274
77,-0.19903672,0.101463065,-0.013429975,0.10514105,-0.3316603,0.040319256,0.25336158,-0.10821049,0.15172444,0.1472456,-0.08907442
78,0.19911593,0.040312856,0.14185327,0.36096618,-0.2495257,-0.4295938,0.5994527,-0.057741404,-0.053692352,-0.0601149,-0.15405606
79,-0.16925147,0.37336737,0.23999624,-0.33046383,0.025960295,0.3523084,0.3101708,0.65616053,0.08904688,-0.31482196,0.11245467
80,0.38402343,-0.065376215,-0.041765075,0.2625641,-0.49215442,-0.13483249,0.27991396,-0.17725873,0.41402835,0.0020998958,-0.19197895
81,0.033430398,-0.11609438,0.009835397,-0.017745191,-0.06898628,0.016208643,-0.017494533,0.21861747,0.39963832,-0.45021275,-0.06708137
82,-0.019364554,0.36330318,0.4317288,0.09699523,0.078940205,-0.13864927,0.14644231,0.40904185,0.08732578,-0.14901954,0.1631723
83,0.0023314825,0.32545465,0.015722215,-0.21204746,-0.14227976,0.23942633,-0.28088897,0.19461043,0.054447405,-0.12017512,0.1478423
84,-0.10405581,0.36308855,0.18245505,0.19748916,-0.19645333,0.03421423,0.115590766,0.16565262,0.066712275,-0.30820164,0.10810854
85,-0.078229256,0.21631275,-0.042334653,0.120307125,-0.23737334,-0.20157057,0.08297484,-0.4375029,0.11890494,0.13123997,-0.0423244
86,0.102624044,-0.15132718,-0.4052225,-0.055119667,-0.7618431,0.25619984,-0.050795052,-0.21075849,0.21494855,-0.49139437,0.35176697
87,0.099063426,0.09882366,-0.09214931,-0.12995593,-0.07375546,-0.09774084,0.49736798,-0.17670892,-0.08432114,0.1815252,-0.19359377
